year,topic_name,mean_theta,topic,top_terms,label_vorlaeufig,interpretation_kurz,brauchbar
2020,Topic_3,0.047990238738654684,3,"ezb, chemnitz, äthiopien, bundesbank, zentralbank, ezb_ezb, eritrea, menschenrechte, aachen, zwickau",Afrika / Entwicklung / BMZ,NA,FALSE
2020,Topic_4,0.05049191042741402,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Bundesländer / Raumbezüge,NA,TRUE
2020,Topic_6,0.049327040966797006,6,"for, portugal, iwf, saarland, amazon, internationalen, esm, bmu, gap, irland",EU / Großbritannien / Kommission,NA,TRUE
2020,Topic_7,0.04985072117141709,7,"hartz, kfw, hartz_hartz, atalanta, weimarer, europol, erdogan, syrische, bundesagentur, bnd",Bundeswehr / NATO / Balkan,NA,TRUE
2020,Topic_11,0.04973663825942202,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",USA / Trump / Amerika,NA,TRUE
2020,Topic_12,0.05369770714456453,12,"rhein, chemnitz, neckar, rhein_neckar, schielke, ziesing, schielke_ziesing, sarai, djir_sarai, djir",Euro / Corona / Finanzpolitik,NA,TRUE
2020,Topic_13,0.05087047774989381,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",Ostdeutschland / Sachsen / Berlin,NA,TRUE
2020,Topic_15,0.0498330945779392,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",UN / Mali / Sahel,NA,TRUE
2021,Topic_1,0.04900873819418962,1,"großbritannien, briten, ceta, vereinigten, britischen, niederlanden, britische, london, großbritannien_großbritannien, niederlande",Israel / Libanon / Hamas,NA,TRUE
2021,Topic_2,0.04943202863199741,2,"cannabis, willy, bamf, amri, bundesamt, cannabis_cannabis, bundesamtes, maaßen, verfassungsschutz, kfor",Türkei / Syrien / Irak,NA,TRUE
2021,Topic_3,0.04687910340831075,3,"ezb, chemnitz, äthiopien, bundesbank, zentralbank, ezb_ezb, eritrea, menschenrechte, aachen, zwickau",Afrika / Entwicklung / BMZ,NA,FALSE
2021,Topic_4,0.052137761510767947,4,"afghanistan, nationen, vereinten, vereinten_nationen, afghanistan_afghanistan, taliban, nationen_vereinten, afghanischen, unmiss, darfur",Bundesländer / Raumbezüge,NA,TRUE
