wahljahr,topic_name,mean_theta,topic,top_terms,label_vorlaeufig,interpretation_kurz,brauchbar,topic_family
Wahljahr,Topic_9,0.04977159661561112,9,"karlsruhe, ausschusses, lausitz, bundesrechnungshof, bundesrates, fiu, long, energie, hannover, karlsruhe_karlsruhe",Karlsruhe / Energie / Kontrolle,NA,FALSE,kontrolle_misc
Wahljahr,Topic_10,0.04914745611866563,10,"demokraten, freien, freien_demokraten, act, hohen, lufthansa, ukrainekrieg, bmg, bmwk, schweizer",Freie Demokraten / Krise / Verwaltung,NA,FALSE,parteien_misc
Wahljahr,Topic_11,0.04837385778288807,11,"hisbollah, hamas, georgien, israelischen, iranischen, aserbaidschan, israelische, armenien, genfer, herzegowina",Nahost / Israel / Iran,NA,TRUE,nahost
Wahljahr,Topic_12,0.05157717809421509,12,"rhein, chemnitz, neckar, rhein_neckar, schielke, ziesing, schielke_ziesing, sarai, djir_sarai, djir",Chemnitz / Regionalbezüge,NA,FALSE,regional_misc
Wahljahr,Topic_13,0.048405245177724,13,"ddr, ddr_ddr, sed, eeg, ostdeutsche, westdeutschland, münster, thüringer, npd, ost",DDR / Ostdeutschland,NA,TRUE,ostdeutschland
Wahljahr,Topic_14,0.049495127453653934,14,"hass, hanau, eugh, zeitung, frankfurter, lübcke, halle, sgb, antifa, faz",Rechtsextremismus / Hanau / Lübcke,NA,TRUE,rechtsextremismus
Wahljahr,Topic_15,0.04928564290153996,15,"russischen, russische, russlands, putins, ukrainischen, zweiten, weltkrieg, ukrainische, sowjetunion, zweiten_weltkrieg",Russland / Ukraine / Osteuropa,NA,TRUE,ukraine
Wahljahr,Topic_16,0.049132347350992527,16,"dollar, bayerischen, chinesischen, bayerische, chinesische, tschechien, chinas, oecd, australien, chinesen",China / Weltwirtschaft,NA,TRUE,china_weltwirtschaft
Wahljahr,Topic_17,0.04926207351052791,17,"paris, pariser, brasilien, europarat, green, erde, ostsee, deal, green_deal, lateinamerika",Green Deal / Paris / Lateinamerika,NA,TRUE,klima_eu
Wahljahr,Topic_18,0.04992724982133146,18,"mittelmeer, libyen, öpnv, sea, öpnv_öpnv, tunesien, libyen_libyen, sophia, irini, libyschen",Mittelmeer / Libyen,NA,FALSE,mittelmeer
Wahljahr,Topic_19,0.04954790863248283,19,"welle, minusma, malischen, welle_welle, venezuela, eutm, the, demokratischen, malische, youtube",Sahel / MINUSMA / Auslandseinsatz,NA,FALSE,sahel
Wahljahr,Topic_20,0.04934613287598109,20,"nato, staaten, vereinigten, vereinigten_staaten, schweden, nato_nato, donald, osteuropa, finnland, washington",NATO / USA / Osteuropa,NA,TRUE,militaer
