year,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
2017,0.05457884401728429,0.05251316349452346,0.05491013852734533,0.05405919919669534,0.05113270371241664,0.05200764610099856,0.053400572057468565,0.048857557175671334,0.048192948874300895,0.04732301027883859,0.047637538654409936,0.0463251957247178,0.04848213255532007,0.048115025586221084,0.04749867904960625,0.048245859430493435,0.04845836473948529,0.049965142138579534,0.049018385905543506,0.04927789278008008
2018,0.05085388719764328,0.05009560616017612,0.04759607349893689,0.05230946515572454,0.05168431005150746,0.05178858029594642,0.050945678387492956,0.05057825969856254,0.050347836709418975,0.04938450678912169,0.04835225225782274,0.0522661136038345,0.04820122027470236,0.04910877578849053,0.04766616227650964,0.049828868553648535,0.048601455891719415,0.050606492306580146,0.048811472473272305,0.050972982628888996
2019,0.05173518976141037,0.04853075081083191,0.04691090867359881,0.049923302359152766,0.050402152197343036,0.05022237549305396,0.05058072782287619,0.04941385534039552,0.05027735407115209,0.048910448175327505,0.04893010159542074,0.053700615155844046,0.0520133775696882,0.050452325043501216,0.04852345881685864,0.050640184221048566,0.05010144945908425,0.048093014102326394,0.04953572669291413,0.05110268263817173
2020,0.048752817505691735,0.049393075498133356,0.047990238738654684,0.05049191042741402,0.04823684920186671,0.049327040966797006,0.04985072117141709,0.04936350417848434,0.049801170677309464,0.050733374575388325,0.04973663825942202,0.05369770714456453,0.05087047774989381,0.05222958494671217,0.0498330945779392,0.05108235845559415,0.050465182044151236,0.04934888505758119,0.04932769795910414,0.04946767086388087
2021,0.04900873819418962,0.04943202863199741,0.04687910340831075,0.052137761510767947,0.04889855700966743,0.05074370952505303,0.049029550858450593,0.05004932168915322,0.0509020753707465,0.05045395231021484,0.04890114015878626,0.055338152968910335,0.048350185683046415,0.050483426363048756,0.05056529802531652,0.049767166465215326,0.0498376139982529,0.04990011491434061,0.0499271029121829,0.049395000002348616
2022,0.047553816605739326,0.04983850740088746,0.046249954912944785,0.049511799541444,0.050747936537732574,0.048922398401791245,0.04856577901369017,0.05083671608381403,0.048787465027066164,0.04982049722760679,0.049122080666872556,0.05324878018383793,0.049607724755072635,0.050080865256041635,0.06006217917163908,0.04906195021019953,0.04891967595891546,0.048108740035506435,0.05009928664960194,0.05085384635959611
2023,0.04819083358825797,0.050004799647639785,0.04672191153069897,0.04878202744055092,0.04972170122696248,0.04861820358354065,0.04758166655097007,0.04947453434656684,0.05115166692870327,0.05172948620622062,0.052339140884452205,0.052093183627637804,0.050943347987413276,0.04930138529365184,0.05369466524435377,0.049798687331130416,0.05115067356064911,0.0503346219292107,0.04943917481827528,0.048928288273114046
