Partei,Topic,Thema,Nichtwahljahr (%),Wahljahr (%),Differenz (%)
Linke,T14,Rechtsextremismus / Hanau / Lübcke,5.06,4.83,-0.23
SPD,T14,Rechtsextremismus / Hanau / Lübcke,5.06,4.93,-0.13
AfD,T15,Russland / Ukraine / Osteuropa,5.31,5.08,-0.23
CDU/CSU,T15,Russland / Ukraine / Osteuropa,5.23,5.04,-0.19
FDP,T15,Russland / Ukraine / Osteuropa,5.42,5.02,-0.4
Grüne,T15,Russland / Ukraine / Osteuropa,5.54,5.02,-0.52
Linke,T15,Russland / Ukraine / Osteuropa,5.04,4.82,-0.21
SPD,T15,Russland / Ukraine / Osteuropa,5.32,4.99,-0.33
AfD,T16,China / Weltwirtschaft,5.14,5.11,-0.02
CDU/CSU,T16,China / Weltwirtschaft,5.05,4.92,-0.14
FDP,T16,China / Weltwirtschaft,4.94,4.88,-0.06
Grüne,T16,China / Weltwirtschaft,4.95,4.81,-0.13
Linke,T16,China / Weltwirtschaft,4.84,4.79,-0.05
SPD,T16,China / Weltwirtschaft,4.96,4.79,-0.16
AfD,T17,Green Deal / Paris / Lateinamerika,5.01,4.9,-0.11
CDU/CSU,T17,Green Deal / Paris / Lateinamerika,4.95,4.93,-0.02
FDP,T17,Green Deal / Paris / Lateinamerika,4.92,4.82,-0.1
Grüne,T17,Green Deal / Paris / Lateinamerika,5.1,4.95,-0.15
Linke,T17,Green Deal / Paris / Lateinamerika,4.84,4.75,-0.09
SPD,T17,Green Deal / Paris / Lateinamerika,5.04,4.97,-0.07
AfD,T18,Mittelmeer / Libyen,4.92,5.01,0.09
CDU/CSU,T18,Mittelmeer / Libyen,4.97,5.13,0.16
FDP,T18,Mittelmeer / Libyen,4.89,5,0.11
Grüne,T18,Mittelmeer / Libyen,4.98,4.89,-0.08
Linke,T18,Mittelmeer / Libyen,5.07,5.21,0.15
SPD,T18,Mittelmeer / Libyen,4.9,4.9,-0.01
AfD,T19,Sahel / MINUSMA / Auslandseinsatz,4.91,5.04,0.12
CDU/CSU,T19,Sahel / MINUSMA / Auslandseinsatz,4.93,4.95,0.02
FDP,T19,Sahel / MINUSMA / Auslandseinsatz,4.93,4.93,-0.01
Grüne,T19,Sahel / MINUSMA / Auslandseinsatz,4.9,4.83,-0.06
Linke,T19,Sahel / MINUSMA / Auslandseinsatz,4.8,4.83,0.03
SPD,T19,Sahel / MINUSMA / Auslandseinsatz,4.97,5,0.03
AfD,T20,NATO / USA / Osteuropa,5.16,5.07,-0.08
CDU/CSU,T20,NATO / USA / Osteuropa,5.16,5.1,-0.05
FDP,T20,NATO / USA / Osteuropa,5.03,4.98,-0.04
Grüne,T20,NATO / USA / Osteuropa,4.88,4.81,-0.07
Linke,T20,NATO / USA / Osteuropa,5.01,4.89,-0.12
SPD,T20,NATO / USA / Osteuropa,5.04,4.97,-0.07
